dt_referencia,seller_id,dt_ult_vda,receita_total,qtde_vdas,qtde_itens_total,qtde_itens_dist_total,frete_total,receita_por_venda,items_por_vda,frete_por_vda,frete_por_item,proporcao_ativacao,qtde_vda_futura,flag_churn
2017-07-01,001cca7ae9ae17fb1caed9dfb1094831,2017-06-30 13:36:08,9337.279999999995,73,91,7,2766.81,127.9079452054794,1,395.25857142857143,37.90150684931507,0.8333333333333334,44,0
2017-07-01,004c9cd9d87a3c30c522c48c4fc07416,2017-06-28 19:31:07,7016.9899999999925,47,55,41,1021.3899999999999,149.29765957446793,1,24.911951219512193,21.73170212765957,1.0,47,0
2017-07-01,014c0679dd340a0e338872e7ec85666a,2017-05-25 09:46:06,1408.0,4,4,2,108.1,352.0,1,54.05,27.025,0.6666666666666666,1,0
2017-07-01,01c97ebb5cdac52891c0ed1c37ba0012,2017-04-23 08:25:35,58.8,2,2,1,34.02,29.4,1,34.02,17.01,0.16666666666666666,2,0
2017-07-01,01cf7e3d21494c41fb86034f2e714fa1,2017-06-30 11:27:34,5347.509999999999,34,36,14,977.0500000000001,157.2797058823529,1,69.78928571428573,28.736764705882354,1.0,19,0
2017-07-01,01fdefa7697d26ad920e9e0346d4bd1b,2017-06-27 22:15:26,778.27,10,10,6,177.34,77.827,1,29.55666666666667,17.734,0.5,24,0
2017-07-01,02d35243ea2e497335cd0f076b45675d,2017-06-27 13:41:32,747.0,2,3,1,71.31,373.5,1,71.31,35.655,0.3333333333333333,6,0
2017-07-01,02ecc2a19303f05e59ce133fd923fff7,2017-06-18 18:04:34,149.9,1,1,1,17.3,149.9,1,17.3,17.3,0.16666666666666666,2,0
2017-07-01,0307f7565ff85b299b6e5ef162b1b1a9,2017-05-25 07:49:44,4695.0,5,5,5,246.02999999999997,939.0,1,49.205999999999996,49.205999999999996,0.5,0,1
2017-07-01,0432ead42b6c8a0bdf68154add917fdf,2017-06-29 11:49:19,3233.500000000002,30,35,19,450.72999999999996,107.78333333333339,1,23.722631578947368,15.024333333333333,0.5,20,0
2017-07-01,048c2757535328e0d7dac690ad3c0aae,2017-05-28 12:14:35,1630.1000000000001,9,9,6,180.14,181.12222222222223,1,30.02333333333333,20.015555555555554,0.5,6,0
2017-07-01,04aa0a1c5ce6b222003403a3e11c3cc0,2017-05-27 10:44:41,2312.0,4,7,4,299.0,578.0,1,74.75,74.75,0.5,6,0
2017-07-01,04aba03279157f6d4e0fe8ccaf21963c,2017-05-17 15:44:53,286.0,2,2,2,31.5,143.0,1,15.75,15.75,0.16666666666666666,1,0
2017-07-01,0509040ea3fe50071181bbc359eb7738,2017-06-29 17:55:41,407.58,8,9,5,150.73999999999998,50.9475,1,30.147999999999996,18.842499999999998,0.3333333333333333,12,0
2017-07-01,054694fa03fe82cec4b7551487331d74,2017-06-25 11:24:35,5490.0,13,14,10,413.71,422.3076923076923,1,41.370999999999995,31.82384615384615,1.0,2,0
2017-07-01,05ff92fedb5be47920fea08e501238b9,2017-06-30 10:35:12,8326.5,20,22,9,602.77,416.325,1,66.97444444444444,30.1385,0.8333333333333334,9,0
2017-07-01,062ce95fa2ad4dfaedfc79260130565f,2017-06-28 22:39:04,5920.199999999995,43,48,12,962.8999999999999,137.67906976744175,1,80.24166666666666,22.39302325581395,1.0,12,0
2017-07-01,06532f10282704ef4c69168b914b77be,2017-06-26 13:06:15,7445.0,5,5,4,422.01,1489.0,1,105.5025,84.402,0.5,2,0
2017-07-01,066a6914e1ebf3ea95a216c73a986b91,2017-06-29 11:52:53,5588.369999999997,33,35,23,806.92,169.34454545454537,1,35.08347826086956,24.45212121212121,1.0,4,0
2017-07-01,06e5eefc71ec47ae763c5c6f8db7064f,2017-05-29 16:16:50,421.99,3,3,3,80.11000000000001,140.66333333333333,1,26.703333333333337,26.703333333333337,0.3333333333333333,7,0
2017-07-01,07017df32dc5f2f1d2801e579548d620,2017-05-05 18:46:30,797.4899999999999,7,8,2,157.99,113.92714285714284,1,78.995,22.57,0.3333333333333333,0,1
2017-07-01,0725b8c0f3f906e58f70cbe76b7c748c,2017-04-08 18:03:40,960.2900000000001,6,15,4,221.81,160.04833333333335,2,55.4525,36.968333333333334,0.6666666666666666,0,1
2017-07-01,0747d5bb69f0586cc869d8af4c50f93e,2017-06-03 00:20:47,250.00000000000003,10,11,9,150.87,25.000000000000004,1,16.763333333333335,15.087,0.8333333333333334,0,1
2017-07-01,07a9bc7f61396b658ddf3ac534efe44c,2017-06-26 11:44:22,119.9,1,1,1,15.59,119.9,1,15.59,15.59,0.16666666666666666,0,1
2017-07-01,07bf9669d84d1f11be443a9dd938f698,2017-06-28 20:57:23,240.0,3,4,3,91.41000000000001,80.0,1,30.470000000000002,30.470000000000002,0.5,6,0
2017-07-01,08061dc0fc165ed41288cc7acde738ee,2017-06-28 20:56:02,86.9,2,2,2,33.59,43.45,1,16.795,16.795,0.3333333333333333,1,0
2017-07-01,0887a9f087bcd5d9f6642b52f897fc6c,2017-06-07 09:00:44,1344.0,10,10,3,169.72000000000003,134.4,1,56.573333333333345,16.972,0.8333333333333334,2,0
